 Time(s)   T_center   T_surface   dT
    329.26      742.98      927.61      184.64
    329.69      743.64      928.01      184.37
    330.13      744.30      928.40      184.10
    330.57      744.96      928.79      183.84
    331.00      745.61      929.19      183.57
    331.44      746.27      929.58      183.31
    331.88      746.93      929.97      183.04
    332.31      747.58      930.36      182.78
    332.75      748.24      930.75      182.51
    333.19      748.89      931.14      182.25
    333.62      749.54      931.53      181.99
    334.06      750.19      931.92      181.72
    334.50      750.84      932.30      181.46
    334.93      751.49      932.69      181.20
    335.37      752.14      933.08      180.94
    335.81      752.79      933.46      180.68
    336.24      753.43      933.85      180.41
    336.68      754.08      934.23      180.15
    337.12      754.72      934.62      179.89
    337.55      755.37      935.00      179.63
    337.99      756.01      935.39      179.37
    338.43      756.65      935.77      179.12
    338.86      757.29      936.15      178.86
    339.30      757.93      936.53      178.60
    339.74      758.57      936.91      178.34
    340.17      759.21      937.29      178.08
    340.61      759.85      937.67      177.82
    341.05      760.49      938.05      177.57
    341.48      761.12      938.43      177.31
    341.92      761.75      938.81      177.05
    342.36      762.39      939.19      176.80
    342.79      763.02      939.56      176.54
    343.23      763.65      939.94      176.29
    343.67      764.28      940.32      176.03
    344.10      764.91      940.69      175.78
    344.54      765.54      941.07      175.53
    344.98      766.17      941.44      175.27
    345.41      766.80      941.82      175.02
    345.85      767.42      942.19      174.77
    346.29      768.05      942.56      174.51
    346.72      768.67      942.93      174.26
    347.16      769.30      943.31      174.01
    347.60      769.92      943.68      173.76
    348.03      770.54      944.05      173.51
    348.47      771.16      944.42      173.26
    348.91      771.78      944.79      173.00
    349.34      772.40      945.16      172.75
    349.78      773.02      945.53      172.51
    350.22      773.64      945.89      172.26
    350.66      774.25      946.26      172.01
    351.09      774.87      946.63      171.76
    351.53      775.48      946.99      171.51
    351.97      776.10      947.36      171.26
    352.40      776.71      947.73      171.01
    352.84      777.32      948.09      170.77
    353.28      777.93      948.45      170.52
    353.71      778.54      948.82      170.27
    354.15      779.15      949.18      170.03
    354.59      779.76      949.54      169.78
    355.02      780.37      949.91      169.54
    355.46      780.98      950.27      169.29
